"Data Source","World Development Indicators",

"Last Updated Date","2023-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Guatemala","GTM","Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.89099979400635","5.82100009918213","5.80499982833862","5.75899982452393","5.69000005722046","5.69999980926514","5.62200021743774","5.56400012969971","5.54899978637695","5.51300001144409","5.50299978256226","5.4229998588562","5.40299987792969","7.32999992370605","7.21600008010864","7.0310001373291","6.88800001144409","6.875","6.8439998626709","6.64400005340576","6.38299989700317","6.39099979400635","5.82299995422363","8.30200004577637","9.77200031280518","8.10299968719482","7.9689998626709","6.70599985122681","5.57499980926514","8.00100040435791","7.05800008773804",
"Guatemala","GTM","Part time employment, total (% of total employment)","SL.TLF.PART.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.7000007629395","28.4899997711182","33.7799987792969","30.7999992370605","27.0799999237061","29.3600006103516","","","","","","",
"Guatemala","GTM","Labor force with intermediate education, male (% of male working-age population with intermediate education)","SL.TLF.INTM.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.9599990844727","80.6399993896484","","92.0500030517578","","","","91.2699966430664","76.5899963378906","86.4300003051758","85.8300018310547","83.4100036621094","88.3899993896484","85.1600036621094","86.6500015258789","86.5699996948242","86.4400024414063","","",
"Guatemala","GTM","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.0110015869141","86.0100021362305","86.0070037841797","86.0139999389648","85.9889984130859","85.9089965820313","85.8970031738281","85.8140029907227","85.6880035400391","85.5810012817383","85.4919967651367","85.3970031738281","85.2870025634766","85.197998046875","85.0690002441406","84.2809982299805","83.4789962768555","82.6640014648438","81.8339996337891","80.9899978637695","80.129997253418","83.6179962158203","86.1179962158203","81.6320037841797","82.3629989624023","83.7009963989258","82.7480010986328","84.161003112793","83.5169982910156","82.1439971923828","79.3290023803711","80.4649963378906",
"Guatemala","GTM","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.1949996948242","39.3339996337891","39.5810012817383","39.7439994812012","39.9440002441406","40.265998840332","40.3530006408691","40.6259994506836","40.9850006103516","41.2229995727539","41.4150009155273","41.5050010681152","41.7449989318848","41.8650016784668","42.0779991149902","41.9809989929199","41.8930015563965","41.8139991760254","41.7449989318848","41.6860008239746","41.6370010375977","40.1389999389648","45.0260009765625","39.7270011901855","40.0229988098145","38.484001159668","39.568000793457","38.6990013122559","38.4490013122559","37.1539993286133","35.8079986572266","36.2680015563965",
"Guatemala","GTM","Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.5400009155273","50.5","","47.6800003051758","","","","39.7200012207031","45.25","49.689998626709","38.4500007629395","40.3499984741211","38.2700004577637","40.25","39.0699996948242","38.939998626709","37.1399993896484","","",
"Guatemala","GTM","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","SL.TLF.ACTI.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.51","63.52","63.52","63.51","63.51","63.56","63.58","63.67","63.79","63.88","63.97","64.12","64.29","64.43","64.61","64.41","64.22","64.01","63.79","63.56","63.33","63.13","68.16","63.19","63.68","63.41","63.97","64.16","64.44","64.71","","",
"Guatemala","GTM","Labor force participation rate for ages 15-24, total (%) (national estimate)","SL.TLF.ACTI.1524.NE.ZS","","","","","50.7599983215332","","","","","","","","","47.5800018310547","","","","","42.2200012207031","46.7999992370605","49.2999992370605","43.1800003051758","","","","45.0299987792969","","54.0099983215332","","53.4900016784668","","","","","44.689998626709","","","","","52.5499992370605","","","","62.939998626709","55.1100006103516","","59.1300010681152","","","","51.0299987792969","53.2599983215332","57.9199981689453","49.8400001525879","51.6100006103516","52.2400016784668","52.5200004577637","52.4799995422363","52.4099998474121","51.4099998474121","","",
"Guatemala","GTM","Labor force participation rate for ages 15-24, female (%) (national estimate)","SL.TLF.ACTI.1524.FE.NE.ZS","","","","","14.8500003814697","","","","","","","","","16.0799999237061","","","","","14.3100004196167","16.2600002288818","16.2800006866455","15.0699996948242","","","","14.8599996566772","","26.4699993133545","","27.5200004577637","","","","","18.3199996948242","","","","","27.4799995422363","","","","45.1699981689453","34.6100006103516","","41.4199981689453","","","","33.3800010681152","35.4700012207031","39.75","32.4900016784668","32.9199981689453","31.4699993133545","33.810001373291","31.1800003051758","33.2599983215332","32.3300018310547","","",
"Guatemala","GTM","Children in employment, work only, male (% of male children in employment, ages 7-14)","SL.TLF.0714.WK.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.6599687062505","","26.44376","37.8431471952549","","","","","","",
